Index,x_coordinate(m),y_coordinate(m)
347,21663,33167
348,21663,33167
349,21663,33167
350,21663,33167
351,21663,33167
352,21663,33167
353,21663,33167
354,21663,33167
355,21663,33167
356,21663,33167
357,21663,33167
358,21663,33167
359,21663,33167
360,21663,33167
361,21663,33167
362,21663,33167
363,21663,33167
364,21663,33167
365,21663,33167
366,21598,33117
367,21598,33117
368,21598,33117
369,21598,33117
370,21486,32863
371,21675,32938
372,21692,32884
373,21692,32884
374,21692,32884
375,21692,32884
376,21692,32884
377,21675,32938
378,21675,32938
379,21675,32938
380,21675,32938
381,21692,32884
382,21692,32884
383,21692,32884
384,21692,32884
385,21692,32884
386,21692,32884
387,21675,32938
388,21675,32938
389,21692,32884
390,21692,32884
391,21675,32938
392,21675,32938
393,21675,32938
394,21692,32884
395,21692,32884
396,21692,32884
397,21675,32938
398,21692,32884
399,21692,32884
400,21692,32884
401,21692,32884
402,21675,32938
403,21675,32938
404,21692,32884
405,21692,32884
406,21692,32884
407,21692,32884
408,21692,32884
409,21675,32938
410,21675,32938
411,21692,32884
412,21675,32938
413,21675,32938
414,21824,32935
415,21824,32935
416,21824,32935
417,21824,32935
418,21824,32935
419,21824,32935
420,21824,32935
421,21824,32935
422,21824,32935
423,21824,32935
424,21824,32935
425,21824,32935
426,21824,32935
427,21824,32935
428,21824,32935
429,21824,32935
430,21824,32935
431,21824,32935
432,21824,32935
433,21824,32935
434,21824,32935
435,21763,32993
436,21705,32988
437,21763,32993
438,21763,32993
439,21763,32993
440,21763,32993
441,21763,32993
442,21763,32993
443,21763,32993
444,21763,32993
445,21763,32993
446,21740,33078
447,21740,33078
448,21740,33078
449,21740,33078
450,21740,33078
451,21705,32988
452,21705,32988
453,21705,32988
454,21705,32988
455,21705,32988
456,21705,32988
457,21705,32988
458,21763,32993
459,21763,32993
460,21763,32993
461,21763,32993
462,21763,32993
463,21763,32993
464,21763,32993
465,21763,32993
466,21740,33078
467,21740,33078
468,21705,32988
469,21705,32988
470,21763,32993
471,21705,32988
472,21814,32985
473,21814,32985
474,21814,32985
475,21814,32985
476,21814,32985
477,21814,32985
478,21814,32985
479,21814,32985
480,21814,32985
481,21814,32985
482,21814,32985
483,21814,32985
484,21814,32985
485,21814,32985
486,21814,32985
487,21799,33017
488,21799,33017
489,21799,33017
490,21799,33017
491,21799,33017
492,21799,33017
493,21799,33017
494,21799,33017
495,21799,33017
496,21799,33017
497,21799,33017
498,21799,33017
499,21838,33058
500,21838,33058
501,21838,33058
502,21838,33058
503,21838,33058
504,21838,33058
505,21838,33058
506,21838,33058
507,21838,33058
508,21838,33058
509,21838,33058
510,21838,33058
511,21838,33058
512,21838,33058
513,21838,33058
514,21838,33058
515,21838,33058
516,21838,33058
517,21838,33058
518,21838,33058
519,21510,33050
520,21510,33050
521,21510,33050
522,21510,33050
523,21510,33050
524,21510,33050
525,21510,33050
526,21510,33050
527,21510,33050
528,21510,33050
529,21510,33050
530,21510,33050
531,21510,33050
532,21510,33050
533,21510,33050
534,21510,33050
535,21510,33050
536,21510,33050
537,21510,33050
538,21510,33050
539,21510,33050
540,21510,33050
541,21510,33050
542,21510,33050
543,21510,33050
544,21510,33050
545,21510,33050
546,21510,33050
547,21510,33050
548,21510,33050
549,21510,33050
550,21510,33050
551,21510,33050
552,21510,33050
553,21510,33050
554,21510,33050
555,20908,33302
556,20908,33302
557,20908,33302
558,20908,33302
559,20908,33302
560,20908,33302
561,20908,33302
562,20908,33302
563,21740,32857
564,21740,32857
565,21740,32857
566,21740,32857
567,21740,32857
568,21740,32857
569,21740,32857
570,21740,32857
571,21740,32857
572,21740,32857
573,21740,32857
574,21740,32857
575,21740,32857
576,21740,32857
577,21740,32857
578,21740,32857
579,21740,32857
580,21740,32857
581,21740,32857
582,21740,32857
583,21740,32857
584,21740,32857
585,21740,32857
586,21740,32857
587,21606,33017
588,21606,33017
589,21606,33017
590,21606,33017
591,21606,33017
592,21606,33017
593,21606,33017
594,21606,33017
595,21606,33017
596,21606,33017
597,21606,33017
598,21606,33017
599,21606,33017
600,21606,33017
601,21606,33017
602,21606,33017
603,21606,33017
604,21606,33017
605,21606,33017
606,21606,33017
607,21606,33017
608,21606,33017
609,21606,33017
610,21606,33017
611,21606,33017
612,21606,33017
613,21606,33017
614,21606,33017
615,21606,33017
616,21606,33017
617,21606,33017
618,21606,33017
619,21606,33017
620,21606,33017
621,21606,33017
622,21606,33017
623,21606,33017
624,21606,33017
625,21606,33017
626,21606,33017
627,21606,33017
628,21606,33017
629,21606,33017
630,21606,33017
631,21606,33017
632,21606,33017
633,20908,33337
634,20908,33337
635,20908,33337
636,20908,33337
637,20908,33337
638,20908,33337
639,21408,33024
640,21408,33024
641,21408,33024
642,21408,33024
643,21408,33024
644,21408,33024
645,21408,33024
646,21408,33024
647,21408,33024
648,21408,33024
649,21408,33024
650,21408,33024
651,21408,33024
652,21408,33024
653,21408,33024
654,21408,33024
655,21408,33024
656,21408,33024
657,21408,33024
658,21408,33024
659,21408,33024
660,21408,33024
661,21408,33024
662,21408,33024
663,21399,33054
664,21399,33054
665,21399,33054
666,21399,33054
667,21399,33054
668,21399,33054
669,21399,33054
670,21399,33054
671,21399,33054
672,21399,33054
673,21399,33054
674,21399,33054
675,21399,33054
676,21399,33054
677,21399,33054
678,21399,33054
679,21399,33054
680,21399,33054
681,21399,33054
682,21399,33054
683,21399,33054
684,21399,33054
685,21399,33054
686,21399,33054
687,21399,33054
688,21399,33054
689,21399,33054
690,21399,33054
691,21399,33054
692,21399,33054
693,21399,33054
694,21399,33054
695,21399,33054
696,21399,33054
697,21419,33059
698,21419,33059
699,21479,33032
700,21479,33032
701,21479,33032
702,21479,33032
703,21479,33032
704,21479,33032
705,21462,33057
706,21462,33057
707,21462,33057
708,21436,33105
709,21436,33105
710,21436,33105
711,21436,33105
712,21436,33105
713,21436,33105
714,21436,33105
715,21412,33204
716,21412,33204
717,21412,33204
718,21412,33204
719,21412,33204
720,21412,33204
721,21412,33204
722,21412,33204
723,21412,33204
724,21412,33204
725,21412,33204
726,21412,33204
727,21412,33204
728,21412,33204
729,21412,33204
730,21412,33204
731,21412,33204
732,21412,33204
